node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9,node_10,node_11,node_12,node_13,node_14,node_15,node_16,node_17,node_18,node_19,node_20,node_21,node_22,leaf
aust1307,mala1545,nort3238,nort3187,nucl1755,,,,,,,,,,,,,,,,,,,casi1235
aust1307,mala1545,grea1284,cent2246,bisa1268,cent2263,wara1304,sama1315,,,,,,,,,,,,,,,,bayb1234
kamu1264,awin1249,,,,,,,,,,,,,,,,,,,,,,aeky1238
kwer1242,,,,,,,,,,,,,,,,,,,,,,,isir1237
,,,,,,,,,,,,,,,,,,,,,,,cayu1262
indo1319,clas1257,indo1320,iran1269,sout3157,midd1352,mode1259,fars1254,fars1255,,,,,,,,,,,,,,,west2369
aust1307,mala1545,east2712,ocea1241,cent2060,east2445,poly1242,nucl1485,,,,,,,,,,,,,,,,pile1238
,,,,,,,,,,,,,,,,,,,,,,,hadz1240
araw1281,alto1249,pare1275,,,,,,,,,,,,,,,,,,,,,yavi1244
chuk1271,chuk1272,,,,,,,,,,,,,,,,,,,,,,chuk1273
drav1251,nort2698,,,,,,,,,,,,,,,,,,,,,,brah1256
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,nort3376,rive1266,ngir1248,ngir1250,ngom1276,abab1240,oldb1234,komo1265,bila1258,,,,,,,,komo1260
atla1278,volt1241,kwav1236,nato1234,basi1245,,,,,,,,,,,,,,,,,,,anii1245
aust1307,mala1545,cele1242,grea1299,east2488,sout2928,muna1246,nucl1573,muni1256,muni1259,west2847,,,,,,,,,,,,,muna1247
sepi1257,sepi1256,mayo1278,,,,,,,,,,,,,,,,,,,,,yess1239
atla1278,volt1241,nort3149,came1255,uban1244,ngba1292,west2836,rive1263,bwak1244,,,,,,,,,,,,,,,ngba1284
atla1278,volt1241,nort3149,came1255,mbum1257,nort2773,tupu1245,mund1324,,,,,,,,,,,,,,,,mund1325
nakh1245,dagh1238,avar1255,andi1254,,,,,,,,,,,,,,,,,,,,cham1309
song1307,nort2822,nort2823,,,,,,,,,,,,,,,,,,,,,tada1238
indo1319,clas1257,grae1234,gree1276,nort3405,,,,,,,,,,,,,,,,,,,tsak1248
aust1307,mala1545,east2712,ocea1241,west2818,papu1253,nucl1744,nort2848,aret1241,,,,,,,,,,,,,,,mais1250
otom1299,east2557,amuz1253,mixt1422,mixt1423,mixt1427,west2824,,,,,,,,,,,,,,,,,yoso1239
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,mala1539,west2871,peri1262,nort3261,,,,,,,,,,,,,,maee1241
nucl1709,cent2116,awyu1265,grea1275,awyu1263,dumu1247,ketu1239,,,,,,,,,,,,,,,,,wamb1259
aust1307,mala1545,grea1284,suba1253,west2811,,,,,,,,,,,,,,,,,,,west2557
aust1307,mala1545,bima1248,flor1240,flor1241,mang1430,,,,,,,,,,,,,,,,,,remb1250
surm1244,sout2836,sout2837,past1248,,,,,,,,,,,,,,,,,,,,meen1242
,,,,,,,,,,,,,,,,,,,,,,,yura1255
atla1278,volt1241,benu1247,delt1251,ogon1240,west2469,,,,,,,,,,,,,,,,,,elem1253
sino1245,burm1265,lolo1265,lolo1267,nili1235,sout3212,niso1234,nucl1739,nasu1236,,,,,,,,,,,,,,,sich1238
aust1307,mala1545,east2712,ocea1241,sout3173,sout2868,tann1242,sout3195,,,,,,,,,,,,,,,,sout2869
aust1305,mund1335,sora1255,sora1256,,,,,,,,,,,,,,,,,,,,sora1254
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,stge1234,nort3225,newg1239,east2761,maro1247,,,,,,,,,,,,maro1244
afro1255,cush1243,east2699,high1285,,,,,,,,,,,,,,,,,,,,burj1242
afro1255,chad1250,bium1280,nort3156,bium1279,musg1256,,,,,,,,,,,,,,,,,,mbar1260
maya1287,core1254,yuca1252,yuca1253,,,,,,,,,,,,,,,,,,,,yuca1254
utoa1244,sout3136,cora1261,azte1234,east2720,sier1253,,,,,,,,,,,,,,,,,,high1278
chib1249,,,,,,,,,,,,,,,,,,,,,,,pech1241
,,,,,,,,,,,,,,,,,,,,,,,tonk1249
aust1307,mala1545,east2712,ocea1241,sout3173,newc1243,main1286,nort3325,nort3211,vohk1236,vohk1234,bwat1242,haek1241,,,,,,,,,,,bwat1240
afro1255,chad1250,masa1323,nort3157,masa1324,,,,,,,,,,,,,,,,,,,masa1322
cent2225,sara1341,sbbo1237,nucl1719,sara1349,sara1318,barh1234,sara1348,,,,,,,,,,,,,,,,sara1321
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,cent2260,nort3376,rive1266,ngir1248,ngir1252,ngir1254,libi1251,libi1242,,,,,,,,,,ndob1238
sino1245,kuki1245,anga1312,anga1286,anga1244,,,,,,,,,,,,,,,,,,,khez1235
aust1307,mala1545,grea1284,suba1253,nucl1726,east2769,,,,,,,,,,,,,,,,,,cent2089
heib1242,west2502,west2503,,,,,,,,,,,,,,,,,,,,,tira1254
turk1311,comm1245,cent2326,sout2693,yeni1256,yeni1251,,,,,,,,,,,,,,,,,,khak1248
atla1278,volt1241,kwav1236,nyoa1234,poto1254,tano1248,guan1278,sout2781,hill1256,,,,,,,,,,,,,,,lart1238
mand1469,east2697,sout3140,nwab1239,wanm1243,,,,,,,,,,,,,,,,,,,mwan1250
nucl1709,kain1273,goro1272,nucl1760,nucl1756,kama1374,,,,,,,,,,,,,,,,,,kama1370
aust1307,mala1545,grea1302,east2741,east2748,,,,,,,,,,,,,,,,,,,masi1266
atla1278,volt1241,nort3149,came1255,uban1244,band1341,,,,,,,,,,,,,,,,,,golo1234
nucl1709,kain1273,goro1272,nucl1760,fore1273,,,,,,,,,,,,,,,,,,,fore1270
aust1307,east2493,nort2900,,,,,,,,,,,,,,,,,,,,,kava1241
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,stge1234,nort3225,mono1280,,,,,,,,,,,,,,urua1242
drav1251,sout3133,sout3138,tami1291,bada1263,kann1259,,,,,,,,,,,,,,,,,,jenn1240
aust1307,mala1545,basa1291,grea1283,sout2919,mala1537,sout3174,sout3346,nucl1799,inla1273,saka1299,,,,,,,,,,,,,saka1291
turk1311,comm1245,oghu1243,nucl1769,east2334,,,,,,,,,,,,,,,,,,,turk1304
heib1242,west2502,west2503,,,,,,,,,,,,,,,,,,,,,moro1285
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,stge1234,nort3225,newg1239,east2761,rovi1239,,,,,,,,,,,,rovi1238
nduu1242,nucl1642,ambu1246,,,,,,,,,,,,,,,,,,,,,hang1263
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,sout3387,nucl1826,dims1234,ngun1280,ngun1276,nucl1827,ngun1267,,,,,,,,,,xhos1239
pama1250,dese1234,,,,,,,,,,,,,,,,,,,,,,waru1265
aust1307,mala1545,land1261,beny1238,baka1275,,,,,,,,,,,,,,,,,,,beka1241
algi1248,algo1256,algo1257,east2765,,,,,,,,,,,,,,,,,,,,miam1252
aust1305,bahn1264,west2399,nucl1299,,,,,,,,,,,,,,,,,,,,sapu1248
huit1251,nonu1240,,,,,,,,,,,,,,,,,,,,,,nonu1241
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,stge1234,nort3225,sant1458,east2452,,,,,,,,,,,,,chek1238
kwom1263,,,,,,,,,,,,,,,,,,,,,,,nucl1593
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,east2731,nort3203,grea1289,west2841,nort3220,,,,,,,,,,,,,gand1255
aust1307,mala1545,east2712,ocea1241,west2818,meso1253,newi1242,taba1270,,,,,,,,,,,,,,,,nots1237
atla1278,volt1241,nort3149,gura1261,samu1243,,,,,,,,,,,,,,,,,,,wara1292
nyul1248,east2381,nyik1244,,,,,,,,,,,,,,,,,,,,,warr1258
aust1307,mala1545,east2712,ocea1241,nort3195,nort3205,,,,,,,,,,,,,,,,,,hano1246
pama1250,sout3135,vict1234,kuli1256,kuli1251,nucl1335,,,,,,,,,,,,,,,,,,wath1238
turk1311,comm1245,nort2688,,,,,,,,,,,,,,,,,,,,,dolg1241
sino1245,hima1249,maha1306,newa1245,newa1247,,,,,,,,,,,,,,,,,,,east2773
otom1299,east2557,popo1292,zapo1436,zapo1437,nucl1765,core1259,cent2146,sout3003,,,,,,,,,,,,,,,sant1451
aust1307,mala1545,east2712,ocea1241,west2818,nort3206,nger1241,viti1243,meng1266,,,,,,,,,,,,,,,lote1237
otom1299,east2557,amuz1253,mixt1422,mixt1423,mixt1427,west2824,,,,,,,,,,,,,,,,,ocot1243
,,,,,,,,,,,,,,,,,,,,,,,fuyu1242
taik1256,kamt1241,daic1238,daic1237,cent2251,deba1238,,,,,,,,,,,,,,,,,,nung1283
aust1307,mala1545,east2712,ocea1241,cent2060,east2445,poly1242,nucl1485,elli1239,puka1245,samo1310,,,,,,,,,,,,,toke1240
afro1255,cush1243,east2699,lowl1267,sout3055,main1283,nucl1701,kons1242,,,,,,,,,,,,,,,,kons1243
atla1278,volt1241,benu1247,bant1294,sout3152,narr1281,bant1295,maka1327,maka1323,mpoi1234,,,,,,,,,,,,,,bekw1242
sino1245,burm1265,lolo1265,lolo1267,nili1235,liso1234,nucl1734,lisu1252,lisu1250,blac1267,,,,,,,,,,,,,,ning1281
pano1259,taca1255,taka1267,taka1268,arao1247,,,,,,,,,,,,,,,,,,,arao1248
aust1307,mala1545,east2712,ocea1241,west2818,nort3206,nger1241,viti1243,,,,,,,,,,,,,,,,mbul1263
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1324,sind1278,lahn1241,hind1274,sira1271,,,,,,,,,,,,,sera1259
atla1278,volt1241,nort3149,gura1261,cent2243,sout3164,grus1239,east2740,west2837,sisa1247,sisa1248,,,,,,,,,,,,,tumu1242
aust1307,mala1545,timo1265,sout3382,luan1261,luan1262,,,,,,,,,,,,,,,,,,leti1246
aust1307,mala1545,nort3238,meso1254,sout3211,cent2296,nucl1754,ifug1247,,,,,,,,,,,,,,,,tuwa1243
sino1245,kuki1245,kuki1246,oldk1252,kolh1241,,,,,,,,,,,,,,,,,,,komi1270
indo1319,clas1257,balt1263,slav1255,sout3147,west2804,,,,,,,,,,,,,,,,,,slov1268
nucl1709,mada1298,kala1403,sout3148,soge1235,east2767,,,,,,,,,,,,,,,,,,fait1240
pama1250,sout3135,nort3154,waka1283,east2717,,,,,,,,,,,,,,,,,,,gure1255
aust1307,mala1545,bata1315,yami1257,,,,,,,,,,,,,,,,,,,,yami1254
saha1256,west2505,tebu1238,,,,,,,,,,,,,,,,,,,,,teda1241
otom1299,east2557,amuz1253,mixt1422,mixt1423,mixt1427,sout3179,,,,,,,,,,,,,,,,,ayut1236
aust1307,mala1545,east2712,ocea1241,sout3173,newc1243,loya1239,,,,,,,,,,,,,,,,,neng1238
afro1255,chad1250,east2632,east2640,east2641,,,,,,,,,,,,,,,,,,,kera1255
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,,,,,,,,,,,,,,,,,,paam1238
sout2845,ahkk1235,hame1241,,,,,,,,,,,,,,,,,,,,,karo1297
taik1256,kada1291,east2365,buya1244,,,,,,,,,,,,,,,,,,,,yero1238
tuca1253,east2698,sout3144,,,,,,,,,,,,,,,,,,,,,tani1257
hmon1336,hmon1337,nucl1714,jion1235,,,,,,,,,,,,,,,,,,,,jion1236
aust1307,mala1545,grea1284,goro1257,goro1273,,,,,,,,,,,,,,,,,,,goro1259
atla1278,volt1241,nort3149,gbay1279,gbay1280,gban1259,manz1241,,,,,,,,,,,,,,,,,ngba1285
aust1307,mala1545,east2712,,,,,,,,,,,,,,,,,,,,,ocea1241
indo1319,clas1257,indo1320,indo1321,midd1375,cont1248,indo1325,mara1416,mara1422,oldm1248,mode1268,west2963,,,,,,,,,,,,konk1267
song1307,nort2822,,,,,,,,,,,,,,,,,,,,,,koyr1240
drav1251,sout3133,sout3138,tami1291,tami1292,tami1293,tami1294,tami1297,tami1298,mala1541,,,,,,,,,,,,,,mala1463
dogo1299,plai1257,west2508,,,,,,,,,,,,,,,,,,,,,tene1248
grea1241,nort3276,nort2678,jeru1239,,,,,,,,,,,,,,,,,,,,akaj1239
,,,,,,,,,,,,,,,,,,,,,,,cams1241
sino1245,bodi1256,bodi1257,oldm1245,tibe1276,late1253,kham1299,,,,,,,,,,,,,,,,,kham1282
sino1245,burm1265,lolo1265,lolo1267,nili1235,liso1234,nucl1734,lisu1252,lisu1250,blac1267,,,,,,,,,,,,,,dech1234
turk1311,comm1245,kipc1239,west1472,kauk1241,,,,,,,,,,,,,,,,,,,kumy1244
sino1245,dhim1245,,,,,,,,,,,,,,,,,,,,,,dhim1246
aust1307,mala1545,basa1291,grea1283,sama1302,,,,,,,,,,,,,,,,,,,yaka1277
aust1307,mala1545,east2712,ocea1241,cent2060,east2445,poly1242,nucl1485,vanu1245,mele1252,,,,,,,,,,,,,,mele1250
sino1245,mish1241,,,,,,,,,,,,,,,,,,,,,,diga1241
mixe1284,zoqu1261,gulf1238,,,,,,,,,,,,,,,,,,,,,high1276
aust1307,mala1545,east2712,ocea1241,west2818,nort3206,scho1242,siau1243,siss1244,sera1271,siss1245,,,,,,,,,,,,,arop1242
nucl1708,mari1433,elep1241,,,,,,,,,,,,,,,,,,,,,kama1367
aust1307,mala1545,mala1536,nort3170,mala1538,nucl1806,east2755,banj1240,bera1266,brun1252,brun1246,,,,,,,,,,,,,brun1242
aust1307,mala1545,east2712,ocea1241,nort3195,cent2269,sout3188,,,,,,,,,,,,,,,,,apma1240
aust1307,mala1545,east2712,ocea1241,sout3173,sout2868,tann1242,nort3218,,,,,,,,,,,,,,,,lena1238
aust1307,mala1545,nort3238,meso1254,sout3211,sout2907,west2550,nucl1542,,,,,,,,,,,,,,,,ibal1244
atla1278,volt1241,benu1247,bant1294,sout3152,tivo1239,cent2261,cent2267,tive1237,tivi1234,,,,,,,,,,,,,,tivv1240
